"","SEXO","EDAD","NACIO","RAMA","T_UNIV","DISCA","LUG_RES_PAIS","PAIS_NAC_PADRE","ESTUDIOS_PADRE","PAIS_NAC_MADRE","ESTUDIOS_MADRE","BECA","EXTRANJERO","MOTIVO","VOLVERIA","MISMA_CARRERA","OTRO_GRADO","MASTER","DOCTORADO","EST_ARTIST","CICLO_SUP","CICLO_MED","OTROS_EST","NUM_EST","IDIOMAS","TECH","MV_ESP","MV_FUE","SIT_LABORAL","SIT_PROFESIONAL","TR_SUELDO","FORMAC_TR","RAMA_TR","USO_ESTUD_TR","F_TEOR_TR","F_PRAC_TR","F_IDIOM_TR","F_TECH_TR","F_PERSON_TR","F_GEST_TR","OTRO_TRAB","EST_CIVIL","HOGAR","EMPLEADO_PRODUCTIVO"
"69","M","3_>=35","E","CCSS","PuP","No","E","E","1_A","E","3_PC","Si","No","L","Si","No","Si","No","No","No","No","No","Si","1","1","1_B","No","No","E","TP","4_1500-1999","3","Si","No","5","5","1","1","3","1","No","2_C","4_PcH","No"
"70","M","1_<30","E","CCSS","PuP","No","E","E","2_PI","E","6_PM","Si","No","L","Si","No","No","No","No","No","Si","No","Si","0","1","2_M","No","No","E","TT","1_<700","7","No","No","1","1","1","1","5","5","No","1_S","2_ScH","No"
"71","M","1_<30","E","CCSS","PuP","No","E","E","2_PI","E","3_PC","Si","No","L","Si","Si","Si","Si","No","No","No","No","Si","1","1","2_M","Si","No","E","TP","3_1000-1499","1","Si","Si","4","5","2","4","4","5","No","1_S","3_PsH","Si"
"72","H","2_30-34","E","CCSS","PuP","No","E","O","8_U","E","5_B","No","No","L","Si","Si","No","Si","No","No","No","No","Si","0","2","2_M","No","No","E","TT","3_1000-1499","3","Si","Si","3","5","2","2","5","5","No","1_S","5_Otr","Si"
"73","M","2_30-34","E","CCSS","PuP","No","E","E","6_PM","E","4_S","No","No","L","Si","No","Si","No","No","No","No","No","Si","1","1","2_M","Si","No","E","TP","4_1500-1999","3","Si","No","4","5","2","2","5","5","No","2_C","3_PsH","No"
"74","M","2_30-34","E","CCSS","PuP","No","E","E","4_S","E","4_S","Si","No","O","Si","Si","No","No","No","No","Si","No","Si","0","1","2_M","No","No","E","TT","2_700-999","4","No","Si","2","4","1","2","5","5","Si","1_S","2_ScH","No"
"75","M","3_>=35","E","CCSS","PuP","No","E","E","8_U","E","5_B","Si","No","L","Si","Si","Si","Si","No","No","No","No","Si","1","1","2_M","No","No","E","TP","4_1500-1999","3","Si","Si","3","5","3","3","5","5","No","2_C","4_PcH","Si"
"76","M","1_<30","E","CCSS","PuP","No","E","E","3_PC","E","3_PC","Si","No","L","Si","Si","No","Si","No","No","No","No","Si","0","2","3_A","No","No","E","TT","3_1000-1499","2","Si","Si","4","4","2","3","5","5","No","1_S","2_ScH","Si"
"77","M","2_30-34","E","CCSS","PuV","No","E","E","2_PI","E","3_PC","No","No","P","Si","Si","Si","No","No","No","No","No","Si","2","1","1_B","No","No","E","TP","4_1500-1999","3","Si","Si","5","5","2","4","5","4","No","2_C","4_PcH","Si"
"78","M","2_30-34","E","CCSS","PuP","No","E","E","8_U","E","8_U","Si","No","L","Si","No","No","No","No","No","No","No","No","0","0","2_M","Si","No","E","TT","1_<700","6","No","No","2","2","1","2","2","1","Si","1_S","3_PsH","No"
